;content;design
502;super merita toti banii.;0
503;am cumparat aceasta baterie la recomandarea unei prietene care avea deja 2 modelul acesta si era foarte multumita de ele. in 6-8h obtii o incarcare completa a bateriei si 4 incarcari ale telefonului de la 1% la 100%:) e putin greuta, vine cu un cablu scurt de maxim 7cm pe care am inteles ca e indicat sa-l folosesc mai de graba decat un cablu de incarcator din cauza ca cel din urma s-ar uza mai repede, dat fiind amperajul mare al bateriei. all in all, sunt foarte multumita pana acum si chiar recomand produsele asus. si telefonul tot un asus zenfone este.;0
504;am cumparat o a doua casca dupa ce am vazut ca sotul este multumit de aceasta.;0
505;isi face treaba excelent, dar putea fi putin mai ifetina!;0
506;mica, usoara, versatila, sunet surprizator de bun.  merita;2
507;super multumita de acest acumulator extern!;0
508;este exact ce aveam nevoie! telefonul se prinde foarte bine datorita magnetului si e cu mult mai practic decat suporturile de plastic dotate cu ventuza! recomand cu incredere!;0
509;raportul pret calitate al boxei este excelent!  excelent a fost sa cumpar un produs vandut de avstore!;0
510;produsul merita din plin banii. se asaza perfect iar detaliile sunt exact ca in poza. cu ajutorul lui puteti acoperi toate zgarieturile de pe telefon.   ca la orice skin vinilic autoadeziv este nevoie la sfarsitul montajului sa folositi un uscator de par cu aer cald pentru ca vinilul sa se muleze pe curbele telefonului si totodata pentru a activa adezivul.   am montat skin-ul peste protectia de ecran care o aveam deja montata de cand am cumparat telefonul.  recomand sa cititi instructiunile inainte de a face montajul intrucat veti gasi informatii foarte utile.;2
511;pt un telefon este excelent ca spatiu suplimentar de stocare.;0
512;este ok si util;0
513;acumulator extern cumparat de la eastcom pe emag marketplace. daca este complet incarcat, se poate incarca cu el de 4 ori un telefon samsung galaxy s4 mini cu acumulator de 1900 mah. incarcarea telefonului este poate chiar mai rapida decat de la priza. (este doar o impresie subiectiva.)    incarcarea power bank-ului se realizeaza usor. daca se foloseste un incarcator de 2 a, incarcarea este completa in aprox. 5-6 ore. am incercat si cu un incarcator de 1 a, atunci timpul de incarcarea se dubleaza. (cum este logic de altfel.:) )    utilizare usoara, aparat simplu si robust. se pot incarca cu el si alte aparate, cum ar fi de ex. luminile pt. biciclete cu incarcare prin usb.    il am de aprox o saptamana, inca nu stiu cum se comporta in timp. un avantaj fata de alte marci este garantia de 2 ani oferit de comerciant. (la alte marci si alti furnizori am vazut doar intre 6 si 12 luni.);0
514;am cumparat ipadpro 10.5 resigilat. imi asum eroarea de a nu fi verificat si cablul de incarcare care era crapat. greseala mea. in rest, nimic de obiectat. a fost in stare perfecta, nici macar o urma dfe utilizare. oricum, diferenta de pret ca urmare a ambalajului desigilat imi permite clar sa cumpar un cablu nou:).... asta cand va fi cazul.;0
515;f bun, recomand!;0
516;recomand, se merita sa cumparati;0
517;100% original recomand.;0
518;cel mai bun produs in gama 10.000 mah. incarcare rapida, aluminiu, dimensiune redusa. in aceasta gama de pret si capacitate concureaza cu powerbankul de la xiaomi, ambele fiind otiuni excelente.;2
519;perfect! ca si viteza ca si stil;0
520;pentru dimensiunile ei aceasta boxa isi face treaba excelent. sunetul perfect chiar si la volum maxim. usor de transportat si bateria tine mai mult decat asteptat. foarte usor de folosit si conectat.;2
521;este usor de folosit, il recomand cu incredere,.,.,.,.;2
522;folosesc acest card impreuna cu o camera auto si sunt foarte multumit.  recomand cu incredere acest card.;0
523;l-am cumparat pentru dimensiune si capacitate. e mai mic (scund si ingust) decat alte acumulatoare la aceeasi capacitate. e printre putinele la pret decent care incape in buzunarul lateral al ghiozdanului meu. incarca foarte repede, mai repede decat acumulatoarele a+ alea cu lanterna. nu am gasit minusuri.;2
524;determina pulsul corect. se comporta foarte bine in apa si la sauna.;0
525;un ceas smart bun. aplicatie simpla si intuitiva. meniul ceasului la fel. bateria tine in jur de 1 zi jumate - 2. acceptabil. curea moale si comoda. arata f bine ca design.;2
526;am cumparat o husa impreuna cu tableta acum 2 ani la achizitie, la pretul de atunci de 169 lei, acum se gasesc la 139 lei.  personal am cumparat din showroomul din constanta doua, si cu toate ca am o tableta alba si una aurie, la pretul de 14.99 lei era si pacat sa nu iau de rezerva inca una.;0
527;sunet slabut dar ii ok!;0
528;produs ok.;0
529;super sunet, calitate.;0
530;un produs ok care isi face treaba.;0
531;ok incarcatorul. merita;0
532;pro: design elegant, bateria buna  contra: gasesti greu huse in afara de cea dedicata;2
533;excelenta bateria, incarca rapid + vine cu propriul cablu;0
534;foarte bun, raport pret/calitate excelent. lanterna bonus...;0
535;se potriceste perfect pe ceas, se pune usor. nici nu iti dai seama ca are folie pe el;2
536;foarte bun raportul calitate-pret!;0
537;"este ok, incarca de 3 ori telefonul. este ok ca dimensiuni si greutate, incape in buzunar.  cablul fff scurt 12cm, la priza de perete ""atarna"", trebuie pus pe podea la incarcat";2
538;incarca foarte rapid telefonul! recomand!;0
539;merita, sunt multumit;0
540;o tableta minunata recomand;0
541;o boxa care la pretul acesta e cam best-buy.   bateria: o folosesc de 3-4 ore la volum peste 60% si inca nu mi-a palpait ledul rosu. (am pus-o la incarcat vreo 45 de minute ieri, caci atunci am luat-o)   sunet: jbl by harman. am spus tot cu asta. mai ales ca folosesc equaliser la telefon (samsung s8) pentru bass, sunetul este foarte placut si tare pentru 3.1w.  rezistenta la apa:inca nu m-am ivit de un accident xd. capacelul care ascunde porturile e foarte gros si eu zic ca rezista la o cadere in piscina.  am folosit boxa si cu cablu aux la pc si se aude foarte bine asemenea.     ce mi-ar fi placut: sa aibe si suport stereo. (ma gandeam sa mai cumpar inca una,imi place ca o pot pune in buzunar, fata de modelele mai mari de la jbl:) );0
542;recomand aceasta husa, se potriveste perfect la tableta si ofera protectie.;0
543;calitate f buna atat a materialelor cat si a sunetului;2
544;foarte performant. deci, nu pot sa cred ca youtube merge ca uns, prin wi-fi.;0
545;l-am achizitionat de 5 zile pana acum se comporta tare bine. sunt multumit!;0
546;foarte util daca ai nevoie sa urmaresti un serial sau ceva pe telefon. il poti lipi pe husa... foarte bun, nu e necesar... dar merita sa il ai, cumparati cu incredere!!!;0
547;nu se lipeste 100% perfect fiind ecranul la ceas foarte curbat insa nici nu deranjeaza (nu se vede decat daca te uiti super-mega-ultra atent). deja am spart 2 folii, urmeaza sa o comand tot de aici pe a 3-a.;0
548;f. bun.;0
549;produs ok, livrare rapida.;0
550;e foarte buna;0
551;detin boxa de doar 3 zile si pot sa spun ca este extraordinara    +  sunet 360, pusa pe noptiera/comoda se aude bine intr-o camera de 20 mp.  bass-ul este impresionant pentru marimea ei (este prezent inclusiv la volum mic)  medii si inalte foarte bine conturate.  nivelul indicatorului pentru baterie foarte intuitiv.    -  cand am desfacut-o am vrut sa o incarc la priza cu un incarcator de samsung fast charger. din pacate boxa nu este compatibila cu un astfel de incarcator si se inchide automat dupa 1 minut. (protectie la suprasarcina) se incarca totusi cu un incarcator normal 5v 1a in aproximativ 3 ore.;0
552;excelent raportul calitate / pret;0
553;castile sunt foarte bune. se aud foarte bine chiar peste asteptari. recomand!;0
554;excelenta pt. dimensiunile ei. sunet curat si un bass decent. pret/calitate = excelent;2
555;dupa 1 an inca tine ca la inceput;0
556;l-am luat pentru un asus zenfone selfie, rezista la 2 incercari jumatate, cum este specificat de fabricant.    mi-a rezistat la un drum de 5 ore cu gps si apel vocal 90% din timp, plus alte aplicatii.     recomand.;0
557;bratara arata si functioneaza excelent. este un accesoriu foarte util pentru sport dar si in viata de zi cu zi. multumesc emag!;2
558;este foarte ok, functioneza bine si volumul este destul de puternic;0
559;folia se incadreaza perfect pe tableta si arata bine. se aplica foarte usor cu ajutorul abtibild-urilor de care este insotita. sticla era ambalata foarte bine.;2
560;de multi ani folosesc telefoanele dect, si sunt f. multumit de ele.   un incovenient observat la aceste modele - seria 210, este ca nu poti transfera numerele din memorie intre receptoare, modelele mult mai scumpe permit acest lucru.  o alta problema, dar care este la cele mai multe modele dect, este legata de timpul in care afiseaza numarul care te apeleaza, adica daca persoana da un simplu bip, atunci nu apare numarul lui, acesta apare doar daca telefonul tau suna cam de 2 ori...   despre raza de actiune, este ok, dar depinde puternic de numarul de ziduri si de grosimea lor - am preferat sa montez baza in podul casei (unde nu am acces usor), iar raza de actiune s-a marit considerabil...;0
561;este mult mai mica decat ma asteptam, dar face fata foarte bine intr un birou de 17mp  ascultam radio in fiecare zi si este extraordinara, se aude foarte bine. bateria tine si ea toata ziua. sunt foarte multumita de produs.;2
562;am facut multe cautari, dar intr-un final am castigat-o la concrsul firmei. e mai mult decat pot folosi la un apartament. nu stiu altii ce pretentii au, dar eu nu pot cere mai mult la asemenea dimensiuni. sunet foarte clar si cu bass suficient. intentionez sa mai cumpar una deoarece le poti conecta la acelasi device. nu ap probat-o n apa, dar nu cred ca sunt interesat:))).;0
563;iphone 6s 1700mah ( 4 cicluri de incarcari )   deci, bateria are aproximativ: 6800mah  bateria nu se incalzeste.  sunt multumit.;0
564;baterie excelenta. recomand produsul!;0
565;buna ziua,    este foarte ok tableta, are spatiu de microsim si de micro sd.  se misca foarte bine si tine forte mult acumulatorul.;0
566;pentru ce pret are si cat de mica e, e super buna. are bass, are claritate, asta tinand cont de marime. nu e perfecta, dar e mica, practic incape in buzunar. ca minusuri, autonomia putea fi mai buna, nu se poate desface sa pui o baterie mai mare, dar am rezolvat cu un power bank. are deja doi ani. si merge ca noua.;2
567;am testat produsul, parametrii corespund intocmai, nimic de reprosat pana acum.;0
568;sunet foarte bun pentru un difuzor atat de mic!;0
569;comanda ok;0
570;nimic spectaculos, un mediu de stocare rapid si (sper) sigur. cat despre cei de la emag, nota 10 ca de obicei.;0
571;functioneaza ireprosabil pe s8 plus. toate aplocatiile ruleaza full screen, inclusiv netflix-hbogo... etc. singurul minus ar fi ca nu poti incarca telefonul in timp ce ai adaptorul conectat fapt ce poate fi rezolvat cu un wireless charger.;0
572;folosesc ceasul de 10 zile, design fain, touchscreen-ul se misca ok, masuratorile sunt bune, folosesc des gps -ul si chiar si asa ma tine bateria, per total calitate pret bun.;2
573;recomand. decat sa cumperi de 3 ori care nu functioneaza, mai bine iei o data si gata. 50 lei+20 lei transport...;0
574;e super! baiatul meu e foarte multumit!!!;0
575;super tare produsul super multumit;0
576;"ok! super!  5 zile standby!  de mers? ""meserie"", tipic samsung!";0
577;f ok, sunet bun;0
578;cea mai buna tableta am cumparati la pretul de 350 de lei sunt multumit de ea pentru pretul pe care il are am tras multe jocuri memoria este de 8gb si a am mai ramas cu 2gb ramul este de 1gb camera face poze destul de bune pe timp de zi dar noaptea nu ies asa de bine va recomand aceasta tableta;0
579;produs excelent. recomand cu incredere.;0
580;recomand 100%  este mica si o poti lua oriunde iar sunetul este puternic si clar si cu volumul dat la maxim;2
581;foarte buna! incarca un p9 lite 2016 de 3000mah in 2h30min. la pretul de 30 lei este mai mult decat convenabila. lanterna este foarte folositoare. va recomand sa o formatati la prima utilizare si sa folositi un cablu usb de calitate, nu cel din cutie deoarece este foarte scurt si se strica repede.;1
582;cel mai bun raport pret-calitate;0
583;micuta, eleganta, compacta si cu un volum/sunet excelent!;2
584;se incadreaza in bugetul meu. nu este prea greu sau voluminos. se potriveste foarte bine si nu intra lumina exterioara, sunteti literalmente in lumea voastra acolo. telefonul sta foarte bine fixat.;2
585;recomand pt toti parintii care vor sa si stie copii in siguranta;0
586;dincolo de asteptari. atat prinderea in fanta de aerisire cat si magnetii sunt extrem de puternice. telefonul n-o sa cada indiferent de denivelarile la care este supusa masina chiar si in cazul unui note 8 (pe care il folosesc).;0
587;este ok, am incarcat telefonul(s8) de 3 ori.;0
588;un acumulator f bun ce a venit incarcat 75%. l-am descarcat total cuplat la o tableta si incarcarea unui mobil, iar incarcarea a durat cam 6 ore cu un incarcator de lenovo k6, model 32 gb si 3 gb de ram!;0
589;am achizitionat de curand boxa pentru a o face cadou cuiva. am apucat sa testez produsul si am ramas placut surprins de fidelitatea si puterea sunetului, tinand cont de dimensiunile reduse. basul e bun la 80% din volum, dupa care se stinge usor, dar oricum e ok.  deja stau la panda sa achizitionez una si pentru mine.;0
590;"isi face treaba bine, am incarcat telefonul si o boxa. dureaza cam 8 h sa se incarce el {acumulatorul) complet, dar apoi e ok. vine cu doua minicabluri de incarcare (foarte scurte, dar suficiente cat sa pui incarcatorul pe masa si sa incarci telefonul in timp ce faci chestii cu el.  incarca de 3 ori un telefon de 3000 mah., iat timpul de incarcare nu e diferit de cel de la priza.  minusuri - timpul mare de incarcare a acumulatorului; greutatea";2
591;super... recomand;0
592;vine foarte ok pe telefon, se pliaza perfect, nu mai ai nevoie de husa;0
593;"diagonala, viteza procesor si grafica, numar difuzoare harmankardon, baterie, viteza combinata bluetooth+wireless m5 mai mari decit t4;    din pacate, m5 maninca bataie urita le pret: t4 domina majestuos, fiind de 2 ori mai mare...";0
594;daca aveti un iphone codat recomand acest produs! se introduce cipul sub cartela si gata, iphoneul merge struna!;0
595;sabilitate totala in sistemul de acordare bt, acumulatori excelenti. merita toti banii.;0
596;bateria tine, merita banii;0
597;foarte elegant, magnet puternic, foarte stabil. recomand;2
598;suna foarte bun.;0
599;se misca bine, bateria tine bine, e mai usor de folosit pentru citit pdf-uri decat o tableta de 10 inch.;0
600;sunet clar, puternic, calitate buna.;0
601;foarte ok. am achizitionat-o la pretul de 38 lei fara prea multe pretentii, insa m-a surprins.  sunet foarte bun si produs finut.;2
602;sunet foarte bun. foarte multumit. recomand!!!;0
603;excelenta. isi face treaba/;0
604;culoare foarte frumoasa, sincer arata mult mai bine in realitate.  recomand.;2
605;"per total consider ca aceasta boxa portabila merita 5 stele si am sa justific si de ce.   anterior acestei boxe am achizitionat o boxa akai ss023a-x10, de care fara discutii nu am fost multumit. mentionez faptul ca am anumite asteptari calitative de la o boxa. dupa 2 sapt de utilizare a boxei akai ss023a-x10 m-am hotarat sa incerc o alta boxa si anume akai abts-1002, avand in vedere ca diferenta de pret a fost de doar 159 de lei. boxa se aude foarte tare, are bass-ul suficient de puternic. luand in considerare faptul ca este portabila cu pretul de achitie de 659 de lei este cea mai buna boxa raport pret/calitate, fiind suficient de puternica pentru sali de evenimente mai mici (botezuri, zile de nastere, majorate, cabane - este insa mult prea mult pentru un apartament la bloc)  voi prezenta pe scurt anumite caracteristici tehnice care nu se regasesc pe site la prezentarea produsului:  -carcasa mdf+plastic  -difuzor de bass 10"",4ω50w cu iluminare multicolora functie de ritmul melodiei ascultate protejat de grila metalica  -difuzoare inalte hs 3""-26, 4ω10w protejate de grile metalice  -microfon wireless frecventa 259,1 mhz  -telecomada  -2 porturi pentru microfoane cu fir 6,5mm  -port usb si card sd  -alimtarea se face cu cablu vde 1.5m, 0.75mm  -acumulator pb acid 6fm9(12v9ah/20hr)/151*65*100  -suporta fisiere mp3, wma, bluetooth, radio fm (pachetul contine si antena fm), aux  pro:  -designul boxei deosebit, concureaza fara probleme cu boxele sony  -consola de control aflata in partea de sus a boxei cu design deosebit si iluminata albastru asematoare cu boxele sony acoperita cu un plastic ce imita folia de carbon. consola contine porturile pentru microfoanele cu fir, usb, card sd, potentiometrele pentru volumul microfonului, mic eq, echo, bass si inalte, volumul boxei, si butoaele pentru standby, mode redare, inainte, inapoi si oprire sau pornire iluminare led a boxei. are suport tip canal pentru telefoane si tablete.  -afisajul este amplasat frontal si de culoare albastru, iar caracterele afisate sunt mari  -in spatele boxei se regaseste butonul pentru modul de utilizare a energie ac sau dc si portul aux  -boxa este tip troliu cu roti si maner  -bass suficient de puternic  -frecvente redate 23-14000 hz  -ilumincare difuzor bass, perfect pentru petreceri  -microfonul se aude destul de bine spre foarte bine  -sunetul boxei este foarte curat si se aude foarte tare  -nu are sunet de fond  -nu distorsioneaza cu volumul la maxim  -radioul functioneaza perfect  -conectivitatea bluetooth este ireprosabila  -bateria tine foarte mult, la volum normal pentru un apartament tine lejer 3 zile, la maxim inca nu am reusit sa descarc bateria la un chef  contra:  -nu are manere pentru transport  -nu are alimentare la 12v, dar avand in vedere faptul ca acumulatorul este pe 12v se poate rezolva relativ usor";2
606;foarte ok boxa. raport pret -calitate f bun.;0
607;sunetul clar, puternic ne-deranjant. un pic cam grele. in rest sunt robuste iar mufa in unghi drept e perfecta pentru o folosire din buzunar.  le. s'au stricat in nici 6 luni!;1
608;am primit-o cadou de la sotul meu. este superba. pielea este fina, frumos lucrata. bateria externa este extrem de utila, iar telefonul se incarca destul de repede. chiar aveam o problema cand ieseam in oras cu fetele, mai ales seara, cand nivelul bateriei este mai mic si nu aveam unde sa-mi incarc telefonul. am devenit si un donator de curent pentru prietene. imi place mult, chiar ma nimerit cu acest cadou.:);2
609;demential.;0
610;foarte multumita;0
611;foarte eficienta;0
612;bratara are un sistem de prindere ok toate functiele merg bine iar pretul e foarte ieftin  in caz ca nu vati dat seama este iwach replica  dar face chear mai multe lucururi decat la ala de 46 de milioane  camera se vede ok daca intrii in setari>setari imagine> googd  este super si recomand cu incredere;0
613;calitatea sunetului foarte buna raportata la pret. initial daca tineam telefonul aproape se intrerupea, dar ulterior nu am mai avut problema asta.;0
614;conform asteptarilor.;0
615;am luat-o de black friday cu 89 lei! am fost impresionat de taote review-urile pozitive, iar cand am primit-o mi-am dat seama ca nu erau exagerate deloc. desi este mica (o poti tine in palma), calitatea sunetului si volumul intrec orice asteptare. se conecteaza usor la dispozitive. merita fiecare banutz!;2
616;ce sa zic, dupa cativa ani de windows (pana cand microsoft au distrus partea de windows phone/mobile), am trecut pe android, pe care il folosesc in prezent pe telefon si tableta.  insa am decis sa vad ce poate si lumea apple, prin achizitia acestei tablete (ipad 9.7 6th gen) 2018 (128 gb) si dupa o folosire intensa de cateva ore (setare, instalare aplicatii 2 jocuri, media - youtube, etc.) bateria a ajuns de la 90% la 50 si ceva de procente.    la capitolul performante, m-a socat efectiv si asta deoarece de curand achizitionasem o tableta galaxy tab s4 (destul de scumpa) si credeam ca este cea mai buna/performanta tableta, pana azi. efectiv in teste si viteza ipad este net superior fata de galaxy tab s4:  - in geekbench 4 pe single-core ipad a obtinut 3532 si 5963 pe multi-core iar tab s4 a obtinut 1882 puncte si 6506 puncte pe multi-core.   - in antutu benchmark, apple a lasat in urma tab s4, in timp ce eu ma uitam uluit cu o reactie de genul wtf...??? totusi ambele tablete au cam acelasi scor (201145 apple vs 201786 android) astfel ca nici nu vreau sa imi imaginez ce poate ipad pro.    experienta dintre android si apple este destul de mare - daca android se axeaza mai mult pe partea de entertainment, unde utilizatorul isi poate adapta si customiza dupa bunul plac intreg ecosistemul android, prin instalarea de teme si tot felul de widget-uri, la apple, ecosistemul este mult mai curat si bine organizat, mult mai profi, unde utilizatorul desi poate sa se simta umpic resctrictionat, are parte de mult mai multa stabilitate si performanta si asta la doar 2 gb de ram comparativ cu 4 gb de ram de la tab s4.  la display insa tab s4 este superior, ecranul amoled fiind peste ips-ul lui ipad. (ipad pro insa lucrurile banuiesc ca stau altfel...)    ce sa zic, si android-ul este un univers super cu care te obisnuiesti din prima, dar la apple lucrurile sunt mai mult orientate spre performanta si stil.    la spatiul de stocare, am facut bine ca pentru 600 ron in plus am ales varianta de 128 gb, nu de alta, dar inexistenta unui slot microsd, va face ca 32 gb, sa para o gluma buna, pentru ca spatiul se duce vazand cu ochii, un minim 64 gb de ram vor fi necesari pentru o utlizare si o experienta cat de cat normala (aplicatii, ceva jocuri, etc...).    recomand! desi apple are neajunsurile sale, este o experienta unica.;0
617;merge foarte bine, e usor de folosit, arata impecabil. singurul aspect negativ e bateria, care nu tine mai mult de 1,5 zile;2
618;am cumparat acest ceas si pot spune ca se misca foarte bine, are multe functii, raport calitate - pret excelent. per total nota 10. recomand acest produs. multumesc emag.;0
619;pot fi apelat si pot apela. acest lucru functioneaza foarte bine. normal ca nu se aude ca la un telefon obisnuit dar se poate folosi fara probleme. alte aspecte nu ma intereseaza si nu le-am testat.;0
620;apreciez cardurile de memorie kingston. au preturi bune si performante asemenea.;0
621;este foarte bun, poti incarca de 2-3 ori un telefon complet sau de mai multe ori de la 50-60%, si surprinzator, nu se incalzeste deloc, nici cand incarca, nici cand e incarcat! unul din produsele de cea mai buna calitate, nu ezitati sa cumparati si feriti-va de mizeriile 7 in 1, cu lanterne, displayuri colorate si 15 iesiri.;0
622;foarte stabil, bine inchegat si materiale de calitate. am avut alte 2 tipuri de suporti auto no. name si au sarit rotitele din ele, au crapat.   pana acum sup. auto samsung se comporta excelent. telefonul sta f. bine, se poate manevra f. usor. recomand 100%.;2
623;excelent.......;0
624;e mica adica portabila se aude bine are basul bun si dupa parerea mea e o boxa care isi merita banii;2
625;foarte calitativ. recomand.;0
626;un ceas frumos, bine finisat, functioneaza f bine. acumulatorul tine 2 zile si ceva in functie de cum este folosit. este in pic cam mare pt mina mea, dar nu este incomod la purtare. o singura problema am, se conecteaza la telefon fff greu(un sony z5 compact), trebuie sa restartez telefonul si apoi merge. in rest sunt multumit!;2
627;l-am cumparat pentru vacanta, incarca un s5 de 4 ori de la 20% la 100%. se incarca in 4 ore jumatate cu incarcator original samsung de s5, de 2a. cablul integrat nu e gandit sa fie flexibil pentru ca daca ar fi nu ar sta la locul lui, deci nu ii incercati limitele si nu o sa aveti probleme. e putin mai scump decat alti acumulatori, dar merita, daca telefonul are quick charge il incarca intr-o ora!  cautati-ma pe youtube pentru review video!;0
628;card sd foarte bun, recomand;0
629;am achizitionat acest produs de cateva zile si inca nu mi a disparut zambetul de pe fata. raport calitate- pret imbatabil in aceasta categorie! sunet incredibil de clar si puternic ptr o dimensiune asa mica. recomand!!!;2
630;dupa aproape 6 luni de folosire pot sa afirm ca este un acumulator pe care te poti baza.  pro:  - putere mare la output   - prezenta ledurilor $ la numar fiecare reprezentand aprox 2500 mah  - porneste aproape orice telefon cu necesar mare de baterie (lumia 950 xl, iphone 6s, samsung s6, s7) indiferent cat de epuizata ar fi bateria,  - efectueza incarcare rapida datorita amperajului mare la iesire.  - din practica (950xl/ samsung s7) - 3 cicluri complete de incarcare /  contra: destul de greu, durata de incarcare completa de la 0 aprox 6 ore (# o noapte)  dupa un an? parca ar fi prima zi de incarcare... bateria are in continuare forta si da a rama in stand by 1 luna si nu s-a descarcat de loc.... foarte multumit;0
631;bun, huawei p9.;0
632;sunet surprinzator de clar pentru o boxa asa mica, raport pret-calitate foarte bun. daca este utilizata la volum mai mare, surprinde prin claritate si putere, la volum mai mic bateria tine foarte mult.;2
633;sunt cam mici dar foarte bune, bass bun, se aseaza bine pe urechi;0
634;la 31lei 32gb si cu 100mb/sec e super!;0
635;raportul calitate-pret este foarte bun. nu stiu cum va rezista in timp, dar pare foarte calitativ.;0
636;excelent. recomand tuturor acest tablet.;0
637;un telefon ok, ecranul se vede bine din orice unghi. ( am vazut reviw- uri in care lumea se plangea de acest lucru ). are si o medoie polifonica ca ton de apel din repertoriul romanesc ( barca pe valuri.. parca ).;0
638;il folosesc intr-un bridge canon. isi face treaba foarte bine.;0
639;am scapat o de vreo 4 ori pe jos de la o inaltime de 1,50 m si are doar niste mici zgarieturi;0
640;eu sunt multumit imi incarca telefonul de trei ori.;0
641;am trecut de la un gear s2 la galaxy watch. pe partea de functionalitate nu este nimic diferit. speram ca senzorul de puls sa fie mai eficient, dar este la fel. merge bine noaptea, merge prost ziua cand te misti mult si/sau este galagie in jurul tau.  detectiile de workout se activeaza putin mai greu, in sensul ca s2 se prindea mai usor cand incepeam sa fac miscare.  detectiile de somn se activeaza de multe ori chiar daca nu dormi. de exemplu este cand stau destul de nemiscat, citesc o care, vreo 45-60 minute. dupa aceea imi vine notificare cum ca as fi dormit. cu gear s2 nu am avut aceasta problema.  primeste totusi 5 stele de la mine pentru ca:  1. bateria este fantastica. daca nu prea umblu la el, chiar si 5 zile tine. dar in nici un caz nu trebuie sa car incarcatorul dupa mine daca plec intr-o deplasare de 2-3 zile. de miercuri seara pana sambata seara am consumat 50% baterie.  2. design fizic excelent. arata bine, se simte bine pe mana, zimturile de la rama rotativa si de pe butoane fac manipularea acestora mult mai usoare fata de s2, in special in conditii de iarna si frig.;2
642;este de calitate, tine bine telefonul si e foarte usor de utilizat.;2
643;e bun... merge;0
644;un acumulatir foarte bun!;0
645;ba, deci nu am cuvinte sa spun cat de multumit sunt de ele.. ganditi-va ca mi s-a descarcat bateria la telefon de 2 ori pana sa trebuiasca sa bag castile la incarcat. cat despre sunt.. daca stai o ora cu ele in urechi cu volumul blana pe un trap turbat o sa ai impresia ca iti sangereaza urechile sau o sa incepi la latri.   prea bune pt pretul asta...;0
646;sunt foarte multumita de produs. am mai avut doua pana acum si aceasta mi se pare cea mai ok;0
647;o boxa excelenta, se aude impecabil, sunet clar si fara distorsiuni isi merita pretul din plin, eu am achizionat-o de bf cu 90 lei.;0
648;raport calitate pret f. bun, la 600lei nu gasesti ceva mai bun si sa aiba si 9.6 inch, sunetul ok, grafica la fel.;2
649;recomand, are putere si viteza de incarcare asemea incarcatorului original si aici ma refer la huawei p10!!;0
650;se fixeaza foarte bine.;0
651;super. foarte multumit;0
652;am luat boxa la reducere la pretul de 79. 99 lei si o recomand cu incredere. eu o conectez la ipad si iphone si functioneaza excelent. are autonomie mare, e usoara si are un design elegant. se aude foarte bine.;2
653;recomand cu toata increderea.;0
654;foarte multumita..;0
655;ce e fain la comutatorul acesta este ca te poti conecta direct la el si nu mai ai nevoie vreun hub.  am avut ceva temeri cu partea de montat ca nu sunt electrician, dar a fost ok, scrie pe el mic in si out.;0
656;tableta se misca foarte bine, pretul e destul de bun. eu am facut upgrade. ul de la un ipad mini 2, si e diferenta uriasa. raport pret-calitate bun. recomand;0
657;un pic cam greu si voluminos dar isi face treaba bine. lanterna functioneaza destul de bine.;1
658;foarte surprins de calitatea ei, avand in vedere dimensiunile.;0
659;sunt foarte multumit de produsul primit;0
660;foarte fain si suficient de smart.;0
661;ba frate boxa e foarte buna recomand cu cel mai mare drag! o tine bateria mult, bass-ul e bun, claritatea si volumul sunt excelente. ma bucur ca am facut aceasta alegere.;0
662;sunet foarte bun (pentru cei 3w), se conecteaza repede, micuta, usoara si pe handsfree se aude bine. recomand!;2
663;calitate super buna!;0
664;"-calitate excelenta a sunetului datorita suprimarii vantului si zgomotului;  -microfonul pare mai bun decat modelele anterioare;  -bass excelent;  -cablu lat pentru a reduce incurcarea;  -castile vin cu auricular mic, mediu si mare si unul special cum este prezentat in prima imagine a produsului ce confera mai multa stabilitate in ureche;  -calitatea sunetului este foarte buna;  in concluzie, la pretul asta merita cu varf si indesat.  inca nu am descoperit nici un defect, cand se va intampla asta voi posta!";0
665;l-am cumparat pentru sotie si este foarte multumita de produs. uneori bateria tine mai mult de 7 zile, softul de android are grafica draguta, monitorizeaza destul de detaliat calitatea somnului. ulterior l-am cumparat si pt mine. am folosit doar functiile steps si heart rate iar  dupa o saptamana bateria este inca la jumatate.;2
666;cablu super ok, plat ( nu se incalceste ), destul de lung (1 metru )   recomand;2
667;cea mai tare lanterna pe care am avut-o vreodata.:)    e ok si ca acumulator, scoate 2a, si-a meritat cu prisosinta cei 37 lei platiti la black friday.;0
668;arata mult mai bine in realitate. am fost putin sceptic avand in vedere pretul mic, pielea chiar e naturala si foarte fina, moale, calitativa. 10+ din partea mea.;2
669;se misca bine, fluent, nu agatza... in antotoo a scos 44000 si ceva ceea ce e bine pt o tableta... ca display e ok... unghiurile sunt bune. sunt mici detalii care parerea mea, nu ii exclud capacitatile.. gen ai tendinta sa apesi aiurea tastele cand o tii.. dar poti invata noi pozitii... sau formatul display-ului... dar... o recomand cu caldura. aspfalt 8 ruleaza perfect... wi fi pe ac se misca beton... viteza mare, rezolutia display foarte buna... citeste carduri pe care sunt trase filme format mare... peste 5 gb. e un produs curat fara erori ce tine pasul cu aplicatiile actuale!;2
